Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;7;in_play;Forehand;Topspin;46,316624;68;11;2;short;deuce;near;1,239258;8,666203;deep;deuce;near;2,076172;0,574658;1,198242;cross court;Net;false;07:56:12;2468,51001
Rikard Rykkvin;1;first_serve;Serve;Flat;94,523895;69;11;2;short;deuce_alley;far;-4,610202;15,752848;deep;deuce;near;0,924805;-0,187263;2,335938;out wide;Out;false;07:56:28;2483,97998
Rikard Rykkvin;1;second_serve;Serve;Kick;92,453857;69;11;2;short;deuce;far;-2,517903;17,631271;deep;deuce;near;1,484375;-0,45613;2,34375;out wide;In;false;07:56:36;2492,129883
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;72,883492;69;11;2;deep;deuce;near;0,978027;0,507812;deep;deuce;far;-3,142578;24,364841;1,34375;cross court;In;false;07:56:37;2493,419922
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;64,671997;69;11;2;deep;ad_alley;far;4,303834;19,75705;out;deuce;near;1,272461;-0,472217;1,042969;down the line;Out;false;07:56:39;2495,01001
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;57,160854;69;11;2;deep;ad;near;-2,170974;4,51245;out;ad_alley;far;4,355469;24,989841;2,585938;down the line;In;false;07:56:41;2496,97998
Rikard Rykkvin;1;first_serve;Serve;Flat;90,287109;70;11;2;short;ad;far;2,045853;16,478018;deep;ad;near;-1,166016;-0,082323;2,335938;down the T;In;false;07:57:08;2524,550049
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;70,748863;70;11;2;short;ad;near;-0,064378;6,467948;out;ad;far;2,650391;25,583591;1,231445;inside out;In;false;07:57:10;2525,850098
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;77,927864;70;11;2;deep;ad;far;1,945233;21,921791;out;ad;near;-0,663086;-0,128467;1,005859;inside out;In;false;07:57:11;2527,379883
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;58,804081;70;11;2;deep;deuce;near;0,55664;4,417218;out;ad;far;2,177734;25,989841;1,119141;inside in;In;false;07:57:13;2528,780029
Rikard Rykkvin;5;in_play;Forehand;Topspin;81,094429;70;11;2;deep;deuce;far;-3,743817;19,647673;out;deuce;near;0,116272;-1,60503;1,366211;cross court;In;false;07:57:15;2531,129883
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;63,005901;70;11;2;out;ad;near;-3,474609;-0,459363;out;deuce_alley;far;-4,476562;26,614841;1,460938;down the line;Out;false;07:57:17;2532,820068
Rikard Rykkvin;0;none;Feed;Flat;34,843319;71;12;2;deep;deuce;far;-1,513672;19,59375;short;ad;near;-0,415283;9,074657;4,886719;---;In;false;07:57:32;2548,73999
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;123,896233;71;12;2;short;deuce;near;1,699797;5,999428;deep;deuce;far;-0,466064;24,21118;2,164062;down the T;In;false;07:57:52;2567,850098
Rikard Rykkvin;2;first_return;Forehand;Topspin;42,198051;71;12;2;short;deuce;near;1,600586;10,195312;deep;deuce;near;1,8125;1,824658;2,957031;cross court;Net;false;07:57:53;2569,040039
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;99,767014;72;12;2;deep;deuce;near;1,17059;4,115081;deep;ad;far;0,276123;22,567966;2,4375;down the T;Out;false;07:58:03;2579,120117
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;56,403141;72;12;2;short;deuce;far;-0,584473;12,609375;deep;ad;far;-0,003384;23,608982;2,419922;down the T;Net;false;07:58:09;2584,889893
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;61,870312;73;12;2;short;ad;far;0,882812;12,617188;deep;deuce;far;-0,574219;22,942966;2,416016;down the T;Net;false;07:58:27;2603,189941
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;93,368843;73;12;2;short;deuce;near;2,580081;8,636363;deep;deuce;far;-0,887207;22,894987;2,410156;out wide;In;false;07:58:34;2609,919922
Rikard Rykkvin;2;second_return;Forehand;Topspin;78,436317;73;12;2;deep;ad;far;1,565378;22,187529;out;deuce;near;3,947266;-0,347217;0,924805;down the line;In;false;07:58:35;2611,139893
