Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;1;first_serve;Serve;Slice;103,887543;56;9;2;short;deuce;far;-3,588859;15,812776;deep;deuce;near;0,875;0,668408;2,378906;out wide;In;false;07:50:55;
Rikard Rykkvin;2;first_return;Forehand;Topspin;74,782166;56;9;2;short;ad;near;-3,334076;8,170021;out;deuce_out;far;-6,140625;26,396091;0,896484;down the line;In;false;07:50:56;
Rikard Rykkvin;3;serve_plus_one;Backhand;Slice;49,983814;56;9;2;short;ad;far;3,151893;17,063255;deep;ad;near;-2,214844;2,48872;0,886719;cross court;In;false;07:50:57;
Rikard Rykkvin;4;return_plus_one;Backhand;Slice;74,3162;56;9;2;deep;deuce;near;3,080106;3,759225;deep;ad_alley;far;4,121094;24,208591;0,462402;down the line;In;false;07:50:59;
Rasmus Kopperud Riis;5;in_play;Forehand;Topspin;47,208538;56;9;2;short;ad;near;-0,730469;11,65625;deep;deuce;near;2,212891;1,355908;0,84668;down the line;Net;false;07:51:01;
Rikard Rykkvin;1;first_serve;Serve;Flat;107,368584;57;9;2;deep;ad;far;2,649705;19,147985;deep;ad;near;-1,538086;0,379345;2,439453;out wide;Out;false;07:51:20;
Rikard Rykkvin;1;none;Forehand;Topspin;93,260284;57;9;2;short;deuce;near;1,530358;5,728546;out;ad;far;2,972656;24,677341;1,461914;inside in;In;false;07:51:21;
Rikard Rykkvin;1;second_serve;Serve;Flat;84,53019;57;9;2;short;ad;far;1,954022;17,157537;deep;ad;near;-1,408203;0,20747;2,416016;down the T;In;false;07:51:29;
Rikard Rykkvin;2;second_return;Forehand;Topspin;91,19265;57;9;2;deep;deuce;near;3,656501;4,357622;out;ad;far;2,785156;25,349216;1,355469;inside in;In;false;07:51:30;
Rikard Rykkvin;1;first_serve;Serve;Flat;116,823761;58;9;2;deep;deuce;far;-1,482692;20,957434;deep;deuce;near;1,073242;0,14497;2,560547;down the T;Out;false;07:51:47;
Rikard Rykkvin;1;none;Backhand;Topspin;69,824379;58;9;2;short;deuce;near;0,722148;8,599507;out;deuce;far;-1,780273;24,739841;1,300781;inside out;In;false;07:51:48;
Rikard Rykkvin;1;second_serve;Serve;Slice;97,500511;58;9;2;deep;deuce;far;-1,995489;20,717505;deep;deuce;near;1,199219;0,09323;2,644531;down the T;Out;false;07:51:56;
Rikard Rykkvin;2;second_return;Backhand;Slice;60,512325;58;9;2;deep;deuce;near;2,082886;3,814766;deep;deuce;far;-1,732422;24,208591;1,428711;inside out;In;false;07:51:57;
